일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm)
1998-06-30 22:00,24.8,106.9,3.6,9
1998-06-30 23:00,24.8,101.7,3.3,9
1998-07-01 0:00,24.9,75.7,2.7,1
1998-07-01 1:00,24.7,127,2.9,1
1998-07-01 2:00,24.7,122.2,3.1,1
1998-07-01 3:00,24.6,105.8,2.9,1
1998-07-01 4:00,24.7,276.7,2.3,1
1998-07-01 5:00,24.4,143.4,3.6,1
1998-07-01 6:00,23.6,359.3,3.5,1
1998-07-01 7:00,23.3,25.5,2.7,1
1998-07-01 8:00,23.8,31.8,3.6,1
1998-07-01 9:00,24,24.8,2.7,1
1998-07-01 10:00,23.5,30.9,3.3,1
1998-07-01 11:00,23.6,235.2,2.7,1
1998-07-01 12:00,24.1,86,1.9,1
1998-07-01 13:00,24,178.4,2.2,1
1998-07-01 14:00,24.6,212.5,3.8,1
1998-07-01 15:00,24.5,206,2.8,1
1998-07-01 16:00,24.7,243.3,3.4,1
1998-07-01 17:00,26.8,153.7,1.7,1
1998-07-01 18:00,26.5,91.8,1.7,1
1998-07-01 19:00,24.7,172.8,1.8,1
1998-07-01 20:00,23.8,187,1.7,1
1998-07-01 21:00,23.4,171.9,0.9,1
1998-07-01 22:00,23.2,187,1.7,1
1998-07-01 23:00,22.8,170.6,2.4,1
1998-07-02 0:00,22.8,202.6,1.7,0
1998-07-02 1:00,22.6,156,1.4,0
1998-07-02 2:00,22.5,195.6,2.4,0
1998-07-02 3:00,23,192.2,1.9,0
1998-07-02 4:00,22.4,180.6,2.2,0
1998-07-02 5:00,22.9,170.2,2.4,0
1998-07-02 6:00,22.6,195.9,0.8,0
1998-07-02 7:00,23,242.2,1.1,0
1998-07-02 8:00,23.6,206.2,0.7,0
1998-07-02 9:00,23.8,319.9,1,0
1998-07-02 10:00,24.5,50,1.4,0
1998-07-02 11:00,24.6,83.5,1.2,0
1998-07-02 12:00,25.1,61.9,1.1,0
1998-07-02 13:00,25.2,63.8,1.5,0
1998-07-02 14:00,25.6,236.1,1,0
